movieId,actorId
197468,315
202352,682
202352,796
202352,721
208655,804
208655,201
208655,74
203468,638
203468,350
203468,1064
203716,858
203716,840
203716,255
210895,913
210895,1066
210895,12
194666,974
194666,431
194666,603
194889,888
194889,399
194889,769
211286,598
211286,785
194084,558
194084,163
194084,369
198497,395
198497,1023
198497,513
199665,966
201853,506
201853,449
197071,726
197071,831
197071,890
198623,230
198623,773
198623,237
206220,1024
206220,235
206220,1059
201696,905
201696,866
194909,375
194909,1014
194909,5
188195,1040
188195,190
188195,600
194887,855
194887,1036
194887,986
193043,7
193043,1050
193043,671
194907,471
194907,15
194907,830
206608,770
206608,902
206608,66
201735,356
201818,312
201818,499
201818,836
204781,76
204781,955
204781,145
197523,792
197523,593
197523,159
190012,94
190012,669
190012,35
203465,618
203465,111
203465,679
203310,67
203310,775
203310,916
205614,866
205614,475
194022,102
194022,194
199068,772
199068,879
199068,54
197496,263
197496,1045
201724,1022
201724,716
194082,178
194082,54
194082,564
195622,912
195622,646
195622,9
154793,455
154793,92
154793,806
201783,675
201783,744
201783,198
194097,841
209100,87
209100,30
209100,376
198478,489
198494,664
198494,164
198494,505
198941,118
198941,342
198306,781
198306,411
198306,563
200193,498
200193,751
200193,383
189620,1026
189620,821
198621,657
198621,807
203085,161
203085,1062
203085,978
211301,821
211301,318
197461,141
197461,882
197461,430
194886,44
194886,658
194886,340
179395,463
179395,472
162422,332
162422,712
194085,586
194085,513
194085,7
191267,631
191267,580
191267,674
198471,633
198471,706
195164,724
195164,562
195164,558
201702,216
188415,311
188415,837
198622,447
198622,404
198622,339
190455,303
190455,52
190455,627
201742,779
187420,977
187420,134
187420,947
198308,607
198308,148
198308,522
209647,208
209647,84
209647,210
201800,47
201800,594
201800,692
201731,235
201731,232
201687,363
201687,131
180681,480
180681,205
180681,699
198626,701
198626,322
198626,784
202370,398
202370,469
202370,212
185148,296
185148,992
185148,225
194660,287
194660,778
194660,815
203721,468
203721,867
203661,396
198399,83
198399,630
198399,569
207532,367
207532,880
207532,301
197069,780
197069,776
151961,64
151961,865
23138,623
23138,757
23138,1046
193044,244
193044,508
193044,267
201685,995
201685,280
201685,994
178267,328
178267,256
208858,100
208858,143
208858,439
197061,42
197061,615
197061,570
140738,482
140738,927
198412,509
198412,32
188872,1073
188872,344
188872,39
154947,579
154947,151
154947,533
176746,1004
176746,736
176746,4
201692,27
201692,85
201692,113
197062,718
197062,988
197062,788
208982,115
208982,196
208982,260
210266,421
210266,973
210266,361
184320,21
184320,895
184320,976
201801,653
201801,849
201801,348
201686,959
201686,121
201686,415
197447,381
197447,274
197447,131
167674,191
167674,467
167674,818
192608,285
192608,465
192608,961
194196,379
194196,417
194196,525
192151,282
192151,181
192151,229
184519,476
184519,661
184519,817
196367,503
196367,355
196367,435
195758,738
195758,847
195758,829
198413,379
198413,1007
198413,739
201641,1048
201641,612
201641,621
196854,476
196854,10
196854,401
194204,29
194204,1034
194204,640
211161,437
211161,797
211161,961
187821,278
187821,557
187821,335
204640,34
204640,728
204640,632
177366,446
177366,677
210852,275
210852,114
210852,616
190991,971
190991,104
186233,338
186233,477
186233,189
190400,909
190400,981
190400,393
183862,846
183862,73
191657,684
191657,265
191430,460
191430,187
217720,811
217720,422
217720,673
159812,446
159812,566
159812,957
197668,555
197668,930
197668,894
191652,349
191652,466
191652,514
189137,474
189137,642
189137,1038
190374,957
190374,510
190374,770
213364,247
213364,589
213364,746
196362,128
196362,678
196362,616
201701,243
201701,382
201701,568
193324,739
193324,299
193324,940
218188,477
218188,275
218188,660
187338,331
187338,543
187338,276
215791,97
215791,420
215791,440
209738,433
209738,125
209738,116
208772,525
208772,444
208772,922
208824,862
208824,963
208824,710
213624,764
213624,407
213624,670
204650,473
213418,284
213418,370
215579,884
215579,716
215579,789
217023,1060
217023,219
217023,1067
213481,676
213481,654
213481,238
214569,100
214569,822
214569,123
212159,770
212159,119
208144,289
208144,920
208144,561
201766,175
201766,170
201766,329
213415,325
213415,357
220584,374
220584,1044
220584,844
208821,554
208821,176
208821,875
203461,250
203461,597
203461,698
216171,257
216171,980
218812,866
218812,524
218812,743
210768,737
210768,66
210768,1008
146418,708
146418,921
146418,429
208839,556
208839,108
208839,754
218816,133
218816,725
218816,188
186658,414
186658,943
198472,853
194081,820
194081,360
218049,275
218049,857
218049,157
214678,961
214678,705
214678,390
213403,782
213403,453
213403,1029
213487,426
213487,133
213487,16
204159,214
204159,622
220063,391
220063,116
220063,33
206221,821
206221,1009
206221,894
204177,813
204177,527
204177,731
209730,180
209730,624
183780,96
183780,307
183780,735
219816,656
219816,712
219816,997
212082,1058
212082,982
220044,368
220044,572
217034,877
217034,49
216269,744
216269,569
216269,268
198624,28
198624,388
198624,1055
198967,695
198967,501
198967,777
197068,231
197068,729
197068,152
218612,443
218612,650
218612,681
199666,686
199666,697
199666,577
208094,574
208094,314
208094,854
208814,560
208814,1057
204176,513
204176,850
204176,587
218821,66
218821,770
218821,478
213199,2
213199,1051
213199,953
198309,28
198309,54
198309,86
212129,412
212129,1072
212129,901
204138,886
204138,1030
204138,793
208133,223
213595,416
213595,919
213595,827
217081,50
217081,753
217081,829
223079,860
223079,364
201810,281
201810,218
201810,23
213382,569
213382,198
213382,1033
209727,131
209727,54
209727,519
203719,375
203719,567
203719,569
218468,567
218468,1001
218468,739
209739,592
209739,903
209739,842
210039,791
210039,537
208873,802
208873,79
208873,103
213576,626
213576,120
213576,182
213419,306
213419,94
213478,655
213478,251
213478,759
218845,458
218845,1074
218845,172
213329,552
213329,946
213329,949
206217,758
206217,765
206217,663
213404,494
213404,490
213404,272
203667,298
209728,760
209728,1013
209728,320
208976,750
208976,405
208976,463
194908,183
195178,1064
195178,619
195178,999
199908,1053
199908,932
199908,929
213577,551
198625,7
198625,310
209731,341
209731,590
194668,156
213542,923
213542,707
213542,812
193963,154
193963,193
193042,526
193042,636
213557,400
213557,308
213557,539
214999,173
201799,227
201799,209
201799,132
197524,31
197524,174
213434,324
213434,905
213434,783
213417,228
213417,720
213417,1019
